feature,true_coefficient
is_peak,38.0
is_rain,27.0
is_airport_pickup,24.0
is_event_nearby,19.0
traffic_index,-16.0
driver_scarcity_index,21.0
feat_001,0.0
feat_002,0.0
feat_003,0.0
feat_004,0.0
feat_005,0.0
feat_006,0.0
feat_007,0.0
feat_008,0.0
feat_009,0.0
feat_010,0.0
feat_011,0.0
feat_012,0.0
feat_013,0.0
feat_014,0.0
feat_015,0.0
feat_016,0.0
feat_017,0.0
feat_018,0.0
feat_019,0.0
feat_020,0.0
feat_021,0.0
feat_022,0.0
feat_023,0.0
feat_024,0.0
feat_025,0.0
feat_026,0.0
feat_027,0.0
feat_028,0.0
feat_029,0.0
feat_030,0.0
feat_031,0.0
feat_032,0.0
feat_033,0.0
feat_034,0.0
feat_035,0.0
feat_036,0.0
feat_037,0.0
feat_038,0.0
feat_039,0.0
feat_040,0.0
feat_041,0.0
feat_042,0.0
feat_043,0.0
feat_044,0.0
feat_045,0.0
feat_046,0.0
feat_047,0.0
feat_048,0.0
feat_049,0.0
feat_050,0.0
feat_051,0.0
feat_052,0.0
feat_053,0.0
feat_054,0.0
feat_055,0.0
feat_056,0.0
feat_057,0.0
feat_058,0.0
feat_059,0.0
feat_060,0.0
feat_061,0.0
feat_062,0.0
feat_063,0.0
feat_064,0.0
feat_065,0.0
feat_066,0.0
feat_067,0.0
feat_068,0.0
feat_069,0.0
feat_070,0.0
feat_071,0.0
feat_072,0.0
feat_073,0.0
feat_074,0.0
feat_075,0.0
feat_076,0.0
feat_077,0.0
feat_078,0.0
feat_079,0.0
feat_080,0.0
feat_081,0.0
feat_082,0.0
feat_083,0.0
feat_084,0.0
feat_085,0.0
feat_086,0.0
feat_087,0.0
feat_088,0.0
feat_089,0.0
feat_090,0.0
feat_091,0.0
feat_092,0.0
feat_093,0.0
feat_094,0.0
feat_095,0.0
feat_096,0.0
feat_097,0.0
feat_098,0.0
feat_099,0.0
feat_100,0.0
feat_101,0.0
feat_102,0.0
feat_103,0.0
feat_104,0.0
feat_105,0.0
feat_106,0.0
feat_107,0.0
feat_108,0.0
feat_109,0.0
feat_110,0.0
feat_111,0.0
feat_112,0.0
feat_113,0.0
feat_114,0.0
