trip_id,zone,hour,is_peak,is_weekend,is_rain,is_event_nearby,is_airport_pickup,traffic_speed_kmph,drivers_available_500m,open_requests_500m,historical_demand,distance_km,time_min,base_fare_inr,surge_additive_inr,final_fare_inr,demand_supply_ratio,is_bad_weather
1,Powai,2,0,1,0,0,0,43.4,31,13,14.0,18.21,33.6,325.7,27.8,353.5,0.419,0
2,Lower Parel,18,1,0,1,1,0,22.8,6,46,46.2,15.06,42.7,306.1,150.0,456.1,7.667,1
3,Andheri East,15,0,0,0,1,0,47.3,17,25,26.4,3.24,7.8,94.5,65.7,160.2,1.471,0
4,CSMIA T2,10,1,1,1,0,0,18.5,14,35,36.5,14.45,35.5,284.4,150.0,434.4,2.5,1
5,Andheri East,10,1,1,0,0,0,35.3,22,32,33.8,13.37,40.1,280.6,99.3,379.9,1.455,0
6,Navi Mumbai,20,1,1,1,1,0,23.3,11,34,32.9,15.63,50.1,327.8,150.0,477.8,3.091,1
7,Navi Mumbai,2,0,0,0,0,0,37.5,20,12,18.4,16.91,35.7,314.3,53.1,367.4,0.6,0
8,Dadar,16,0,0,0,0,0,37.2,13,17,17.7,14.93,34.3,287.8,46.7,334.5,1.308,0
9,CSMIA T2,4,0,0,0,0,0,45.9,19,18,12.4,12.55,25.6,241.8,29.1,270.9,0.947,0
10,BKC,2,0,1,0,0,0,45.0,23,15,12.0,7.8,15.4,164.4,27.8,192.2,0.652,0
11,Powai,12,0,0,0,0,1,45.5,19,17,11.8,14.55,30.2,275.0,82.8,357.8,0.895,0
12,Andheri East,23,0,0,0,0,0,45.9,23,13,13.1,19.23,36.0,342.8,35.8,378.6,0.565,0
13,Bandra West,17,0,0,0,0,0,47.0,20,13,12.6,12.58,22.3,235.6,23.7,259.3,0.65,0
14,Dadar,18,1,0,1,0,1,27.3,5,23,21.6,13.96,43.7,294.9,150.0,444.9,4.6,0
15,Thane,17,0,0,0,0,0,41.0,10,10,16.0,9.87,23.9,206.2,32.4,238.6,1.0,0
16,Powai,18,1,1,1,0,0,17.7,11,21,22.6,15.61,40.2,307.7,150.0,457.7,1.909,1
17,Lower Parel,12,0,1,0,0,0,41.1,30,16,18.2,19.96,42.8,365.1,32.8,397.9,0.533,0
18,CSMIA T2,3,0,1,0,0,0,47.3,19,16,13.2,4.89,9.5,117.7,32.9,150.6,0.842,0
19,Dadar,20,1,0,1,0,0,28.6,9,30,27.0,5.64,24.3,156.3,148.5,304.8,3.333,0
20,Navi Mumbai,10,1,0,0,0,1,30.1,12,28,28.1,11.71,36.8,254.1,132.5,386.6,2.333,0
21,Colaba,12,0,0,1,0,0,25.7,11,16,16.5,10.66,24.3,216.5,103.7,320.2,1.455,0
22,Colaba,8,1,0,1,0,0,15.3,4,22,16.4,12.29,36.8,261.1,150.0,411.1,5.5,1
23,Powai,4,0,0,0,0,0,42.3,25,12,11.5,2.88,10.0,94.6,36.8,131.4,0.48,0
